,review,clear_review,predicted,candidat
751,electionspresidentielles2022Nicolas DupontAignan  RTL Cette élection est truquée de A à ZSUD RADIO Cette élection a été manipulée par Emmanuel Macron de A à ZRTL la matinale fait tout pour le faire taire httpstcowVxVhPKE6P,electionspresidentielles2022nicol dupontaignan rtl cet élect truqu a zsud radio cet élect a manipul emmanuel macron a zrtl matinal fait tout fair tair httpstcowvxvhpke6p,0,macron
755,Nicolas DupontAignan  Pas une voix ne doit aller à Macron au deuxième tour de la présidentielle httpstcobBv8XKmn6I httpstcoWUiszncHxx,nicol dupontaignan voix doit aller macron deuxiem tour présidentiel httpstcobbv8xkmn6 httpstcowuisznchxx,0,macron
756,electionspresidentielles2022Nicolas DupontAignan  RTL Cette élection est truquée de A à ZSUD RADIO Cette élection a été manipulée par Emmanuel Macron de A à ZRTL la matinale fait tout pour le faire taire httpstcowVxVhPKE6P,electionspresidentielles2022nicol dupontaignan rtl cet élect truqu a zsud radio cet élect a manipul emmanuel macron a zrtl matinal fait tout fair tair httpstcowvxvhpke6p,0,macron
66, Le rôle de lÉtat cest de protéger son peuple Emmanuel Macron ne protège pas son peuple contre les agressions contre les attentats  Éric ZemmourMacronBenVoyons McKinseyGate httpstcohY0M1skBDg,rôl létat cest proteg peupl emmanuel macron proteg peupl contr agress contr attentat éric zemmourmacronbenvoyon mckinseygat httpstcohy0m1skbdg,1,macron
759,electionspresidentielles2022 Nicolas DupontAignan appelle les retraités à faire barrage à Macron httpstcorY5iSU7J4k,electionspresidentielles2022 nicol dupontaignan appel retrait fair barrag macron httpstcory5isu7j4k,0,macron
53, Ça ne dérange pas monsieur Macron davoir donné des informations sur la santé des Français à des Américains Quand ils ont des informations les groupes américains les donnent à leur gouvernement  Éric ZemmourMacronBenVoyons McKinseyGate httpstcock9jzUS10l,ça dérang monsieur macron davoir don inform sant franc américain quand inform group américain donnent gouvern éric zemmourmacronbenvoyon mckinseygat httpstcock9jzus10l,1,macron
591,Ils aimeraient tellement que Melenchon se prononce pour un vote en faveur de Macron Dans vos rêves version polie car je pense à un truc beaucoup plus prosaïque   AbstentionMassive NiMacronNiLePen AbstentionLe24 httpstcoDrvJX2nwKd,aim tel melenchon prononc vot faveur macron rêv version pol car pens truc beaucoup plus prosaïqu abstentionmass nimacronnilepen abstentionle24 httpstcodrvjx2nwkd,0,macron
929,La campagne présidentielle me sidére par sa médiocrité jinclus tout le monde de macron jusquà arthaudchacun a été de sa démagogie et les français content de croire au père Noël en demande toujours plus alors que la situation éco mondiale et nationale est catastrophique,campagn présidentiel sider médiocr jinclus tout mond macron jusquà arthaudchacun a démagog franc content croir per noël demand toujour plus alor situat éco mondial national catastroph,0,macron
59, Quand Macron a parlé de lEurope de la Défense la ministre de la Défense de Mme Merkel a dit que tout cela nétait que faribole et que lalliance cest lOTAN  Éric ZemmourMacronBenVoyons McKinseyGate httpstcoc5AFFhAvcY,quand macron a parl leurop défens ministr défens mme merkel a dit tout cel net faribol lallianc cest lotan éric zemmourmacronbenvoyon mckinseygat httpstcoc5affhavcy,0,macron
52, Deux mille milliards deuros de dette 85 milliards de déficit commercial en 2020 395 milliards de position extérieure nette négative M Macron est vraiment le Mozart de léconomie  Éric ZemmourMacronBenVoyons McKinseyGatehttpstco2whhjpHK1F,deux mill milliard deuros det 85 milliard défic commercial 2020 395 milliard posit extérieur net négat macron vrai mozart léconom éric zemmourmacronbenvoyon mckinseygatehttpstco2whhjphk1f,0,macron
49, Emmanuel Macron trahit la France quand il livre ladministration à McKinsey et il trahit la France quand il vend Alstom et les turbines Arabelle à General Electric Ce sont beaucoup de trahisons  Éric ZemmourMacronBenVoyons McKinseyGate httpstcol3BMq2CuhP,emmanuel macron trah franc quand livr ladministr mckinsey trah franc quand vend alstom turbin arabel general electric beaucoup trahison éric zemmourmacronbenvoyon mckinseygat httpstcol3bmq2cuhp,0,macron
880,Nicolas DupontAignan  Pas une voix ne doit aller à Macron au deuxième tour de la présidentielle httpstcobBv8XKmn6I httpstcoWUiszncHxx,nicol dupontaignan voix doit aller macron deuxiem tour présidentiel httpstcobbv8xkmn6 httpstcowuisznchxx,0,macron
